subject,z_re_T2W40,z_pe_T2W40,z_l2_T2W40,z_density_T2W40,y_true,y_pred
CSO-11-6B-SFLVA,0.653429018228058,0.021311244844538543,0.10505950278040524,0.190691856290006,22,15.411933063584446
CSO-11-6B-VCOMA,0.603953616074631,-0.31147646420538844,-0.37547675566834615,0.19205228726259738,28,14.550494124904924
CSO-12-6A-DGISE,-0.15939327711887186,-0.2309291284911633,0.8627105947041649,0.09844460701199488,7,15.012274237547562
CSO-12-6A-FJOVRE,-0.16906239177534796,-0.20783249643048743,-0.4617618013080497,0.07039964597986915,8,13.673184397907416
CSO-12-6B-GQULO,-0.0515568064856232,-0.17330782968842784,0.37098211235747647,0.06025527619018076,7,14.647814193815039
CSO-12-6B-LJHEFE,-0.17979224757493897,0.09009455280642319,-0.49678109817938576,0.14038297207453346,2,13.99534562056807
CSO-12-7A-DALRE,1.0738219822959472,-0.09681284712352771,-0.02861850683534346,0.1883382830374619,23,15.578170352815988
CSO-12-7A-ESALA,-0.1048146191613728,-0.24145229871509466,-0.260449450823635,0.024819401923034383,17,13.85954447466437
CSO-12-7A-IMERO,-0.20397540672553746,-0.4636219149488866,-0.5119347972707635,0.09152063087650765,18,13.35342995337275
CSO-12-7A-JHEZA,0.30827548072853866,-0.3824860840139989,-0.47449550415470976,0.1902894235484733,23,14.083024757549742
CSO-12-7A-LSARAR,0.026847384139420546,-0.2507133060923253,-0.23997321765581242,0.1720570068723936,20,14.149659308705129
CSO-12-7A-SCAHO,0.005041261154711011,-0.3852205719662594,-0.3915758310662541,0.047212125183730705,6,13.716898424747372
CSO-12-7B-DVAGRO,-0.05418356540083082,2.950320356129057,-0.42013730269097505,0.17251854043735185,21,17.08995946991604
CSO-12-7B-SMUGU,-0.1608373328217785,-0.2368560594381277,-0.08583656145578976,0.032248803057905846,12,13.990160290783649
CSO-12-7B-SSARA,-0.1532991177067601,0.030726464009758734,-0.4876308134332933,-0.019666708548117265,7,13.811571265763027
CSO-12-7B-VHOMA,-0.05806049366119232,0.1694946726251855,1.4207127546672385,-0.030470138952398685,22,15.943118236120268
CSO-12-8A-YTOME,0.040293165718345444,3.0664632111879038,2.9074904589648445,0.18687906099348567,29,20.642567338306026
CSO-13-6A-ANASA,-0.1332710506163367,-0.4820504326676314,-0.4400589740076155,-0.36901422393684397,11,13.017046760213013
CSO-13-6B-JETAVE,0.5774154984902309,-0.167231224935525,-0.5421177898654876,0.10294690546852435,23,14.412454830599184
CSO-13-6B-LFMIES,0.0043622489546175005,0.10814875459323377,1.2483751664743314,-0.34148426170583895,23,15.460843349757782
CSO-13-6B-LJMAHU,0.01906599101354963,1.245618829358696,1.7249695841936465,0.21133404356807164,24,17.642429889575407
CSO-13-7A-CAPAMU,-0.05294414382022717,-0.12955763435095694,-0.3751546462010239,-0.03595794419419481,15,13.847827072875031
CSO-13-7A-CDDITR,-0.1245694371169845,-0.3844324868563432,-0.39804589860638756,-0.44354548331250027,11,13.090848135549223
CSO-13-7A-JJATFL,0.8866412659658544,-0.27756345437027236,-0.29646080404779,0.1386760884368742,18,14.892734537426108
CSO-13-7A-RXCHLU,0.6476194833673108,-0.041401549053631116,-0.45168308207032504,0.08386752480160921,5,14.67984381848641
CSO-13-7A-YAMEZA,-0.14947915430516712,-0.47714693191070706,-0.5165872223226298,0.027215827668328738,7,13.325443960571256
